Servicio Meteorológico Nacional
Red: SMN
Estación: ZACATECAS_EMA
Estado: Zacatecas
Municipio: Guadalupe
Latitud (N): 22.74667
Longitud (O): -102.5061111
Altitud: 2270

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-01-10 16:30:00,2023-01-10 22:30:00,90.0,47.0,0,0,19.7,15,779.5,0,392,
2023-01-10 16:20:00,2023-01-10 22:20:00,69.0,47.0,0,0,19.9,14,779.5,0,424,
2023-01-10 16:10:00,2023-01-10 22:10:00,256.0,47.0,0,0,19.8,14,779.5,0,461,
2023-01-10 16:00:00,2023-01-10 22:00:00,174.0,47.0,0,0,19.8,14,779.6,0,498,
2023-01-10 15:50:00,2023-01-10 21:50:00,254.0,47.0,0,0,20.2,13,779.7,0,531,
2023-01-10 15:40:00,2023-01-10 21:40:00,250.0,47.0,0,0,20.5,13,779.7,0,571,
2023-01-10 15:30:00,2023-01-10 21:30:00,194.0,47.0,0,0,20.3,13,779.8,0,620,
2023-01-10 15:20:00,2023-01-10 21:20:00,122.0,47.0,0,0,20.1,10,779.9,0,527,
2023-01-10 15:10:00,2023-01-10 21:10:00,94.0,47.0,0,0,19.5,14,780,0,592,
2023-01-10 15:00:00,2023-01-10 21:00:00,114.0,47.0,0,0,20.5,17,780,0,124,
2023-01-10 14:50:00,2023-01-10 20:50:00,343.0,47.0,0,0,20.6,17,780.1,0,748,
2023-01-10 14:40:00,2023-01-10 20:40:00,55.0,47.0,2.1,9.1,20.2,18,780.2,0,752,
2023-01-10 14:30:00,2023-01-10 20:30:00,68.0,84.0,2.5,13.1,20.3,20,780.3,0,751,
2023-01-10 14:20:00,2023-01-10 20:20:00,37.0,10.0,1.7,6.2,20.1,20,780.3,0,758,
2023-01-10 14:10:00,2023-01-10 20:10:00,63.0,36.0,2,7.4,19.8,21,780.5,0,762,
2023-01-10 14:00:00,2023-01-10 20:00:00,57.0,24.0,2.5,16.6,19.9,21,780.6,0,781,
2023-01-10 13:50:00,2023-01-10 19:50:00,48.0,92.0,1.6,2.2,19.8,22,780.8,0,788,
2023-01-10 13:40:00,2023-01-10 19:40:00,70.0,72.0,1.8,5.6,19.6,20,781,0,805,
