Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa)
19.7,15,779.5
19.9,14,779.5
19.8,14,779.5
19.8,14,779.6
20.2,13,779.7
20.5,13,779.7
20.3,13,779.8
20.1,10,779.9
19.5,14,780
20.5,17,780
20.6,17,780.1
20.2,18,780.2
20.3,20,780.3
20.1,20,780.3
19.8,21,780.5
19.9,21,780.6
19.8,22,780.8
19.6,20,781
19.5,21,781.2
19,22,781.4
18.6,28,781.6
18.2,28,781.7
18.1,33,781.9
18,36,782.1
17.7,38,782.3
17.1,41,782.4
16.9,44,782.6
16.4,45,782.7
16.1,48,782.9
15.9,49,783
15.4,51,783.1
14.9,54,783.2
14.5,56,783.2
14.3,56,783.3
14.2,57,783.4
13.8,58,783.4
13.5,59,783.4
13.5,60,783.4
13.3,61,783.4
13,63,783.3
13,63,783.2
12.7,64,783
12.3,65,783
11.7,68,782.9
10.9,71,782.8
9.9,76,782.7
8.7,81,782.6
7.8,81,782.5
7.1,76,782.3
6.3,77,782.2
5.7,78,782
5.4,80,782
5.2,83,781.9
5.2,85,781.8
5.1,87,781.8
5.3,88,781.7
5.4,90,781.7
5.5,91,781.6
5.5,90,781.5
5.5,89,781.5
5.5,89,781.5
5.4,88,781.4
5.2,86,781.4
5.1,84,781.5
5,79,781.4
5,68,781.4
5.4,61,781.3
5.7,59,781.3
5.7,60,781.2
5.8,64,781.1
6.2,62,781.2
6.6,61,781.1
6.8,64,781.1
6.8,62,781.1
7.2,57,781.1
7.5,54,781.1
7.4,54,781.1
7.8,52,781.1
8.3,50,781.1
8.7,48,781.2
9.1,48,781.3
9.4,47,781.3
9.6,47,781.2
9.8,47,781.3
9.8,47,781.3
9.9,47,781.3
9.9,47,781.4
10,46,781.5
10.1,46,781.6
10.3,46,781.6
10.5,45,781.6
10.4,43,781.6
10.6,42,781.7
10.7,41,781.7
10.9,40,781.8
11,41,781.8
11.1,41,781.9
11.3,40,782
11.4,39,782.1
11.5,37,782
11.5,35,782.2
11.7,31,782.2
11.7,31,782.2
11.5,32,782.2
10.7,32,782.1
10.3,28,782.1
10.7,25,782.1
10.7,23,782
10.5,22,781.9
10.7,21,781.9
11.2,20,781.8
11.8,20,781.7
12.1,19,781.7
12.6,17,781.7
13.2,15,781.7
13.3,14,781.6
13.6,14,781.5
13.9,14,781.3
14.2,14,781.3
14.6,14,781.1
15,13,781
15.2,13,780.8
15.2,14,780.7
15.2,14,780.6
14.9,14,780.5
14.6,14,780.4
14.7,13,780.4
14.9,14,780.3
15.1,13,780.2
15,13,780.2
14.9,15,780.1
15.6,17,780
16.7,15,779.9
17.4,13,779.9
18.1,11,779.9
19,11,779.9
19.4,11,779.9
19.4,11,779.8
19.6,11,779.8
20,10,779.7
20.4,10,779.7
20.5,10,779.6
20.6,10,779.6
20.6,10,779.6
20.7,9,779.6
20.7,10,779.5
20.5,10,779.5
20.8,10,779.5
20.9,9,779.6
21.1,11,779.5
21,14,779.6
20.9,15,779.7
20.8,15,779.9
20.8,14,779.9
20.8,15,780
20.8,15,780.1
20.7,15,780.2
20.6,15,780.3
20.4,14,780.4
20.4,16,780.6
20.2,16,780.7
20,18,780.9
19.9,19,781
20.2,20,781.2
19.6,21,781.3
19.3,23,781.5
19.3,23,781.7
19.4,23,781.8
19.1,24,782
19,25,782.2
18.6,26,782.4
18.4,27,782.5
18.2,27,782.6
18.5,26,782.7
18.2,26,782.8
18.4,26,782.8
18.6,25,782.9
18.5,25,783
18.3,25,783
17.6,26,783.1
17,27,783.1
16.5,28,783.1
16.2,28,783.1
15.6,31,783.1
14.8,33,783.1
13.9,37,783
12.9,41,783
12,45,782.9
11,50,782.8
10.3,53,782.8
9.6,56,782.7
9,59,782.5
8.5,56,782.4
7.9,56,782.3
7.2,62,782.2
6.4,65,782.1
5.5,65,782
4.7,66,781.8
